# Configuration Mrad dMrad Jx dJx dJy dJy dJz dJy Vx dVx Vy dVy Vz dVz
# Table XV of 1211.7099
NQ50TH60PH150 0.0406 0.0002 -0.0594 0.0115 -0.0869 0.0031 0.2830 0.0012 -77 2 -421 6 1739 8
NQ50TH90PH0 0.0339 0.0002 0.0026 0.0010 0.1356 0.0014 0.2412 0.0044 -219 4 600 8 1465 6
NQ50TH90PH30 0.0343 0.0002 -0.0658 0.0002 0.1186 0.0019 0.2437 0.0046 -544 6 380 6 1615 6
NQ50TH90PH60 0.0343 0.0002 -0.1167 0.0007 0.0692 0.0017 0.2448 0.0046 -647 8 36 4 1628 6
NQ50TH90PH90 0.0343 0.0002 -0.1348 0.0014 0.0013 0.0012 0.2450 0.0047 -486 8 -307 2 1548 6
NQ50TH90PH120 0.0330 0.0002 -0.1152 0.0017 -0.0645 0.0002 0.2389 0.0046 28 4 -269 4 780 6
NQ50TH90PH150 0.0324 0.0002 -0.0686 0.0015 -0.1143 0.0007 0.2355 0.0044 198 2 331 4 -657 2
NQ50TH135PH0 0.0233 0.0001 0.0393 0.0025 0.1014 0.0161 0.2060 0.0091 -181 22 26 12 -384 6
NQ50TH135PH30 0.0235 0.0001 -0.0121 0.0179 0.1130 0.0087 0.2026 0.0264 14 20 -124 4 -646 4
NQ50TH135PH60 0.0237 0.0001 -0.0569 0.0522 0.0985 0.0178 0.2067 0.0057 206 8 -61 18 -780 2
NQ50TH135PH90 0.0239 0.0001 -0.0856 0.0763 0.0533 0.0240 0.2111 0.0026 302 8 181 12 -856 4
NQ50TH135PH120 0.0239 0.0001 -0.0914 0.0687 -0.0066 0.0270 0.2128 0.0062 130 18 453 14 -688 4
NQ50TH135PH150 0.0234 0.0001 -0.0753 0.0354 -0.0620 0.0248 0.2094 0.0011 -174 22 358 12 -140 6
NQ33TH45PH0 0.0370 0.0004 -0.0045 0.0009 0.0831 0.0011 0.2665 0.0040 -112 8 -307 10 -1347 2
NQ33TH45PH30 0.0368 0.0004 -0.0454 0.0001 0.0696 0.0015 0.2657 0.0041 26 2 -285 12 -1144 4
NQ33TH45PH60 0.0365 0.0004 -0.0740 0.0007 0.0371 0.0013 0.2651 0.0041 128 4 -210 10 -955 4
NQ33TH45PH90 0.0359 0.0003 -0.0822 0.0014 -0.0051 0.0007 0.2632 0.0040 116 6 -102 6 -542 4
NQ33TH45PH120 0.0353 0.0003 -0.0680 0.0015 -0.0454 0.0001 0.2613 0.0039 -67 2 -85 4 361 4
NQ33TH45PH150 0.0363 0.0004 -0.0369 0.0014 -0.0738 0.0005 0.2647 0.0040 -192 8 -214 6 1205 2
NQ33TH75PH0 0.0279 0.0002 -0.0017 0.0009 0.1221 0.0017 0.1802 0.0035 -84 2 -46 4 393 2
NQ33TH75PH30 0.0275 0.0002 -0.0629 0.0001 0.1045 0.0019 0.1795 0.0036 60 2 -163 2 74 2
NQ33TH75PH60 0.0276 0.0002 -0.1070 0.0008 0.0583 0.0016 0.1808 0.0037 87 2 -99 2 203 2
